id,participant_id,q11_response,timestamp,ip_address,device_type
002613d9-26d4-4814-8f78-b37a9fa9c14f,66b39dac-7437-45e0-aaf3-945e66aca6cb,450-599,2025-10-24 16:48:25.247101+00,94.134.181.60,desktop
04d217d7-ba1d-4617-b225-39efa188a506,4dcc9b23-76a3-4f5f-a656-04aa5e6082d5,300-449,2025-11-10 14:03:11.021764+00,64.251.52.204,desktop
05a81b0d-975a-4ee6-8cad-8f4efe1816b9,84dc1ce4-09c3-4798-9aa0-754802950e3f,under-150,2025-10-29 10:23:40.128652+00,65.61.74.174,desktop
06e50aac-81ff-4be1-991a-a74153daf801,5d65911a-4d19-4d5a-80b3-8339fd60c6b0,600-799,2025-11-08 23:06:35.782921+00,87.103.17.3,mobile
0760b021-cd59-436e-af5d-01ba4d0e54d8,ed6175c1-1a79-4e62-8c08-086d4003d715,over-800,2025-10-29 10:02:15.9121+00,93.44.19.47,mobile
07bdc9d8-5bbd-4ff6-9914-ae00b82a4e36,6d381a6c-8430-4f74-ad84-22bd364e1792,600-799,2025-10-24 18:22:49.954752+00,176.0.128.140,mobile
096d3761-40bd-4cbf-9da2-b4baa7eaecf8,2d8dd1db-9d38-49e0-bf03-5b4735523d27,over-800,2025-10-29 09:54:41.702835+00,172.225.188.246,mobile
0abcd95e-1ec0-439f-b3aa-f75f91cae9d4,9011e52c-69c5-4e69-8fee-0b124371e6da,600-799,2025-10-24 19:17:18.384384+00,46.128.11.182,mobile
0aee2ef0-e699-4172-87e6-f64fcdbb46f8,b64f74c1-f0b2-4cc4-8f56-3650aa9fa5ba,450-599,2025-11-13 10:21:54.82761+00,195.176.44.46,desktop
0c66a499-a049-447f-aa6b-1deccec574ab,967dd793-277b-4b40-a2c4-73ada58bca1b,under-150,2025-10-27 05:33:12.302478+00,115.78.234.253,mobile
0d7d1cc8-feef-43a0-8c21-f743519b856f,ace0e0c2-5c65-4de7-b47e-44beea72844a,600-799,2025-10-26 09:42:24.297147+00,86.62.29.138,desktop
